metric,n_rows,before_max,before_median,after_max,after_median,improved_frac
aspect_p95_a,42,1057.259,1.031,3.962,1.02,0.7142857142857143
comp_a,42,1.0,1.0,1.0,1.0,1.0
dup_a,42,240.0,7.0,0.0,0.0,1.0
edge_cv_a,42,0.775,0.0555,0.144,0.0405,0.7142857142857143
free_a,42,1624.0,375.0,1004.0,250.0,0.9523809523809523
inverted_q_a,42,51.0,0.0,3.0,0.0,0.8571428571428571
mean_edge_a,42,7.934,3.779,8.018,3.9770000000000003,1.0
min_angle_p05_a,42,90.0,90.0,90.0,90.0,0.9523809523809523
n_quads_a,42,44054.0,3596.0,22045.0,3483.5,1.0
n_verts_a,42,44631.0,3745.5,22300.0,3621.5,1.0
nm_a,42,0.0,0.0,2.0,0.0,0.9761904761904762
nonplanar_q_a,42,168.0,16.0,40.0,16.0,0.7619047619047619
orphan_a,42,240.0,7.0,0.0,0.0,1.0
planarity_p95_a,42,0.0,0.0,0.0,0.0,1.0
sliv_q_a,42,17978.0,0.0,5.0,0.0,1.0
sliv_t_a,42,0.0,0.0,0.0,0.0,1.0
tj_a,42,156.0,0.0,72.0,0.0,0.9761904761904762
